id,label,ontology,synonyms,uri
2059009,Skin structure of ear lobule,SNOMED CT,Skin of ear lobule,http://purl.bioontology.org/ontology/SNOMEDCT/2059009
2071003,Structure of reticular formation of spinal cord,SNOMED CT,Reticular formation of spinal cord,http://purl.bioontology.org/ontology/SNOMEDCT/2071003
2076008,Structure of head of phalanx of hand,SNOMED CT,Head of phalanx of hand,http://purl.bioontology.org/ontology/SNOMEDCT/2076008
2083001,Structure of nucleus ambiguus,SNOMED CT,Nucleus ambiguus,http://purl.bioontology.org/ontology/SNOMEDCT/2083001
2095001,Nasal sinus structure,SNOMED CT,Accessory sinus|Paranasal sinus|Nasal sinus,http://purl.bioontology.org/ontology/SNOMEDCT/2095001
2117006,Intervertebral disc of seventeenth thoracic vertebra,SNOMED CT,"Intervertebral disc, T17-T18",http://purl.bioontology.org/ontology/SNOMEDCT/2117006
2123001,Structure of tuberomammillary nucleus,SNOMED CT,Mammilloinfundibular nucleus|Tuberomammillary nucleus,http://purl.bioontology.org/ontology/SNOMEDCT/2123001
2133009,Avian stomach,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2133009
2160002,Structure of ligamentum arteriosum,SNOMED CT,Ligamentum arteriosum,http://purl.bioontology.org/ontology/SNOMEDCT/2160002
2175005,Structure of pharyngeal cavity,SNOMED CT,Pharyngeal cavity,http://purl.bioontology.org/ontology/SNOMEDCT/2175005
2192001,Structure of clavicular part of pectoralis major muscle,SNOMED CT,Clavicular part of pectoralis major muscle,http://purl.bioontology.org/ontology/SNOMEDCT/2192001
2205003,Structure of lamina of fifth thoracic vertebra,SNOMED CT,Lamina of fifth thoracic vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/2205003
2209009,Cerebral basal surface structure,SNOMED CT,Cerebral basal surface,http://purl.bioontology.org/ontology/SNOMEDCT/2209009
2236006,Lesser osseous pelvis,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2236006
2255006,Subserosa,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2255006
2258008,Bunodont tooth,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2258008
2285001,Structure of torcular Herophili,SNOMED CT,Torcular Herophili|Confluens sinuum,http://purl.bioontology.org/ontology/SNOMEDCT/2285001
2292006,Structure of nasopharyngeal gland,SNOMED CT,Nasopharyngeal gland,http://purl.bioontology.org/ontology/SNOMEDCT/2292006
2302002,Structure of vein of the knee,SNOMED CT,Veins of the knee|Vein of the knee,http://purl.bioontology.org/ontology/SNOMEDCT/2302002
2305000,Structure of spinous process of cervical vertebra,SNOMED CT,Spinous process of cervical vertebra,http://purl.bioontology.org/ontology/SNOMEDCT/2305000
2306004,Structure of base of third metacarpal bone,SNOMED CT,Base of third metacarpal bone,http://purl.bioontology.org/ontology/SNOMEDCT/2306004
2327009,Salivary seromucous gland,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2327009
2330002,Structure of segmental bronchial branches,SNOMED CT,Segmental bronchial branches,http://purl.bioontology.org/ontology/SNOMEDCT/2330002
2334006,Renal calyx,SNOMED CT,Structure of calyx|Calyx,http://purl.bioontology.org/ontology/SNOMEDCT/2334006
2349003,Structure of nasal suture of skull,SNOMED CT,Nasal suture of skull,http://purl.bioontology.org/ontology/SNOMEDCT/2349003
2352006,Crest of head of fifteenth rib,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2352006
2372001,Structure of medial surface of toe,SNOMED CT,Medial surface of toe,http://purl.bioontology.org/ontology/SNOMEDCT/2372001
2383005,Structure of papillary muscles of right ventricle,SNOMED CT,Papillary muscles of right ventricle,http://purl.bioontology.org/ontology/SNOMEDCT/2383005
2389009,Structure of superior margin of adrenal gland,SNOMED CT,Superior margin of adrenal gland,http://purl.bioontology.org/ontology/SNOMEDCT/2389009
2395005,Structure of transverse facial artery,SNOMED CT,Transverse facial artery,http://purl.bioontology.org/ontology/SNOMEDCT/2395005
2397002,Structure of first metatarsal facet of medial cuneiform bone,SNOMED CT,First metatarsal facet of medial cuneiform bone,http://purl.bioontology.org/ontology/SNOMEDCT/2397002
2400006,Structure of mandibular left first premolar tooth,SNOMED CT,Tooth 21|Mandibular left first premolar tooth,http://purl.bioontology.org/ontology/SNOMEDCT/2400006
2402003,Structure of dorsum of foot,SNOMED CT,Dorsum of foot,http://purl.bioontology.org/ontology/SNOMEDCT/2402003
2421006,Structure of submaxillary ganglion,SNOMED CT,Submaxillary ganglion|Submandibular ganglion,http://purl.bioontology.org/ontology/SNOMEDCT/2421006
2433001,Structure of digital tendon and tendon sheath of foot,SNOMED CT,Digital tendon and tendon sheath of foot|Tendon and tendon sheath of toe,http://purl.bioontology.org/ontology/SNOMEDCT/2433001
2436009,Tunica intima of vein,SNOMED CT,,http://purl.bioontology.org/ontology/SNOMEDCT/2436009
2453002,Subcutaneous tissue structure of posterior surface of forearm,SNOMED CT,Subcutaneous tissue of posterior surface of forearm|Subcutaneous tissue of dorsal surface of forearm,http://purl.bioontology.org/ontology/SNOMEDCT/2453002
2454008,"Structure of articular surface, third metacarpal, of second metacarpal bone",SNOMED CT,"Articular surface, third metacarpal, of second metacarpal bone",http://purl.bioontology.org/ontology/SNOMEDCT/2454008
2489005,Structure of medial check ligament of eye,SNOMED CT,Medial check ligament of eye,http://purl.bioontology.org/ontology/SNOMEDCT/2489005
2499000,Entire cisterna pontis,SNOMED CT,Cisterna pontis,http://purl.bioontology.org/ontology/SNOMEDCT/2499000
2504000,Structure of pancreatic plexus,SNOMED CT,Pancreatic plexus,http://purl.bioontology.org/ontology/SNOMEDCT/2504000
2510000,Femoral triangle structure,SNOMED CT,Femoral triangle,http://purl.bioontology.org/ontology/SNOMEDCT/2510000
2539000,Structure of superior rectal artery,SNOMED CT,Superior hemorrhoidal artery|Superior rectal artery,http://purl.bioontology.org/ontology/SNOMEDCT/2539000
