name,label,codesystem,code,ontologyTermURI,isDuplicate
MIM_102699,ADENO-ASSOCIATED VIRUS INTEGRATION SITE 1,"OMIM, phenotype",MIM_102699,http://purl.bioontology.org/ontology/OMIM/102699,0
MIM_102700,"SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","OMIM, phenotype",MIM_102700,http://purl.bioontology.org/ontology/OMIM/102700,0
MIM_102730,"ADENOSINE DEAMINASE, ELEVATED, HEMOLYTIC ANEMIA DUE TO","OMIM, phenotype",MIM_102730,http://purl.bioontology.org/ontology/OMIM/102730,0
MIM_102800,"ADENOSINE TRIPHOSPHATASE DEFICIENCY, ANEMIA DUE TO","OMIM, phenotype",MIM_102800,http://purl.bioontology.org/ontology/OMIM/102800,0
MIM_102900,"ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","OMIM, phenotype",MIM_102900,http://purl.bioontology.org/ontology/OMIM/102900,0
MIM_103050,ADENYLOSUCCINASE DEFICIENCY,"OMIM, phenotype",MIM_103050,http://purl.bioontology.org/ontology/OMIM/103050,0
MIM_103100,ADIE PUPIL,"OMIM, phenotype",MIM_103100,http://purl.bioontology.org/ontology/OMIM/103100,0
MIM_103200,ADIPOSIS DOLOROSA,"OMIM, phenotype",MIM_103200,http://purl.bioontology.org/ontology/OMIM/103200,0
MIM_103230,"ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL","OMIM, phenotype",MIM_103230,http://purl.bioontology.org/ontology/OMIM/103230,0
MIM_103285,ADULT SYNDROME,"OMIM, phenotype",MIM_103285,http://purl.bioontology.org/ontology/OMIM/103285,0
MIM_103300,HYPOGLOSSIA-HYPODACTYLIA,"OMIM, phenotype",MIM_103300,http://purl.bioontology.org/ontology/OMIM/103300,0
MIM_103400,AINHUM,"OMIM, phenotype",MIM_103400,http://purl.bioontology.org/ontology/OMIM/103400,0
MIM_103420,"ALACRIMA, CONGENITAL, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_103420,http://purl.bioontology.org/ontology/OMIM/103420,0
MIM_103470,"ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS","OMIM, phenotype",MIM_103470,http://purl.bioontology.org/ontology/OMIM/103470,0
MIM_103500,TIETZ ALBINISM-DEAFNESS SYNDROME,"OMIM, phenotype",MIM_103500,http://purl.bioontology.org/ontology/OMIM/103500,0
MIM_103580,"PSEUDOHYPOPARATHYROIDISM, TYPE IA","OMIM, phenotype",MIM_103580,http://purl.bioontology.org/ontology/OMIM/103580,0
MIM_103780,ALCOHOL DEPENDENCE,"OMIM, phenotype",MIM_103780,http://purl.bioontology.org/ontology/OMIM/103780,0
MIM_103900,"HYPERALDOSTERONISM, FAMILIAL, TYPE I","OMIM, phenotype",MIM_103900,http://purl.bioontology.org/ontology/OMIM/103900,0
MIM_103920,"ALLERGIC BRONCHOPULMONARY ASPERGILLOSIS, FAMILIAL","OMIM, phenotype",MIM_103920,http://purl.bioontology.org/ontology/OMIM/103920,0
MIM_104000,ALOPECIA AREATA 1,"OMIM, phenotype",MIM_104000,http://purl.bioontology.org/ontology/OMIM/104000,0
MIM_104100,PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1,"OMIM, phenotype",MIM_104100,http://purl.bioontology.org/ontology/OMIM/104100,0
MIM_104110,"ALOPECIA, FAMILIAL FOCAL","OMIM, phenotype",MIM_104110,http://purl.bioontology.org/ontology/OMIM/104110,0
MIM_104130,"ALOPECIA, PSYCHOMOTOR EPILEPSY, PYORRHEA, AND MENTAL SUBNORMALITY","OMIM, phenotype",MIM_104130,http://purl.bioontology.org/ontology/OMIM/104130,0
MIM_104200,"ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_104200,http://purl.bioontology.org/ontology/OMIM/104200,0
MIM_104290,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1,"OMIM, phenotype",MIM_104290,http://purl.bioontology.org/ontology/OMIM/104290,0
MIM_104300,ALZHEIMER DISEASE,"OMIM, phenotype",MIM_104300,http://purl.bioontology.org/ontology/OMIM/104300,0
MIM_104310,ALZHEIMER DISEASE 2,"OMIM, phenotype",MIM_104310,http://purl.bioontology.org/ontology/OMIM/104310,0
MIM_104350,"AMASTIA, BILATERAL, WITH URETERAL TRIPLICATION AND DYSMORPHISM","OMIM, phenotype",MIM_104350,http://purl.bioontology.org/ontology/OMIM/104350,0
MIM_104400,AMELIA AND TERMINAL TRANSVERSE HEMIMELIA,"OMIM, phenotype",MIM_104400,http://purl.bioontology.org/ontology/OMIM/104400,0
MIM_104500,"AMELOGENESIS IMPERFECTA, TYPE IB","OMIM, phenotype",MIM_104500,http://purl.bioontology.org/ontology/OMIM/104500,0
MIM_104510,"AMELOGENESIS IMPERFECTA, TYPE IV","OMIM, phenotype",MIM_104510,http://purl.bioontology.org/ontology/OMIM/104510,0
MIM_104530,"AMELOGENESIS IMPERFECTA, TYPE IA","OMIM, phenotype",MIM_104530,http://purl.bioontology.org/ontology/OMIM/104530,0
MIM_104570,AMELOONYCHOHYPOHIDROTIC SYNDROME,"OMIM, phenotype",MIM_104570,http://purl.bioontology.org/ontology/OMIM/104570,0
MIM_104600,AMENORRHEA-GALACTORRHEA SYNDROME,"OMIM, phenotype",MIM_104600,http://purl.bioontology.org/ontology/OMIM/104600,0
MIM_105120,"AMYLOIDOSIS, FINNISH TYPE","OMIM, phenotype",MIM_105120,http://purl.bioontology.org/ontology/OMIM/105120,0
MIM_105150,"CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","OMIM, phenotype",MIM_105150,http://purl.bioontology.org/ontology/OMIM/105150,0
MIM_105200,"AMYLOIDOSIS, FAMILIAL VISCERAL","OMIM, phenotype",MIM_105200,http://purl.bioontology.org/ontology/OMIM/105200,0
MIM_105210,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED","OMIM, phenotype",MIM_105210,http://purl.bioontology.org/ontology/OMIM/105210,0
MIM_105250,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1","OMIM, phenotype",MIM_105250,http://purl.bioontology.org/ontology/OMIM/105250,0
MIM_105300,AMYOTROPHIC DYSTONIC PARAPLEGIA,"OMIM, phenotype",MIM_105300,http://purl.bioontology.org/ontology/OMIM/105300,0
MIM_105400,AMYOTROPHIC LATERAL SCLEROSIS 1,"OMIM, phenotype",MIM_105400,http://purl.bioontology.org/ontology/OMIM/105400,0
MIM_105500,AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1,"OMIM, phenotype",MIM_105500,http://purl.bioontology.org/ontology/OMIM/105500,0
MIM_105550,FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1,"OMIM, phenotype",MIM_105550,http://purl.bioontology.org/ontology/OMIM/105550,0
MIM_105563,ANAL SPHINCTER DYSPLASIA,"OMIM, phenotype",MIM_105563,http://purl.bioontology.org/ontology/OMIM/105563,0
MIM_105565,"ANAL SPHINCTER MYOPATHY, INTERNAL","OMIM, phenotype",MIM_105565,http://purl.bioontology.org/ontology/OMIM/105565,0
MIM_105570,"ANDROSTENONE, ABILITY TO SMELL","OMIM, phenotype",MIM_105570,http://purl.bioontology.org/ontology/OMIM/105570,0
MIM_105580,ANAL CANAL CARCINOMA,"OMIM, phenotype",MIM_105580,http://purl.bioontology.org/ontology/OMIM/105580,0
MIM_105600,"ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE III","OMIM, phenotype",MIM_105600,http://purl.bioontology.org/ontology/OMIM/105600,0
MIM_105650,DIAMOND-BLACKFAN ANEMIA 1,"OMIM, phenotype",MIM_105650,http://purl.bioontology.org/ontology/OMIM/105650,0
MIM_105800,"ANEURYSM, INTRACRANIAL BERRY, 1","OMIM, phenotype",MIM_105800,http://purl.bioontology.org/ontology/OMIM/105800,0
MIM_105805,ANEURYSM OF INTERVENTRICULAR SEPTUM,"OMIM, phenotype",MIM_105805,http://purl.bioontology.org/ontology/OMIM/105805,0
MIM_105830,ANGELMAN SYNDROME,"OMIM, phenotype",MIM_105830,http://purl.bioontology.org/ontology/OMIM/105830,0
MIM_105835,ANGEL-SHAPED PHALANGOEPIPHYSEAL DYSPLASIA,"OMIM, phenotype",MIM_105835,http://purl.bioontology.org/ontology/OMIM/105835,0
MIM_106050,"ANGIOMA SERPIGINOSUM, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_106050,http://purl.bioontology.org/ontology/OMIM/106050,0
MIM_106070,"ANGIOMA, HEREDITARY NEUROCUTANEOUS","OMIM, phenotype",MIM_106070,http://purl.bioontology.org/ontology/OMIM/106070,0
MIM_106100,"ANGIOEDEMA, HEREDITARY, TYPE I","OMIM, phenotype",MIM_106100,http://purl.bioontology.org/ontology/OMIM/106100,0
MIM_106190,"ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS","OMIM, phenotype",MIM_106190,http://purl.bioontology.org/ontology/OMIM/106190,0
MIM_106210,ANIRIDIA 1,"OMIM, phenotype",MIM_106210,http://purl.bioontology.org/ontology/OMIM/106210,0
MIM_106220,ANIRIDIA AND ABSENT PATELLA,"OMIM, phenotype",MIM_106220,http://purl.bioontology.org/ontology/OMIM/106220,0
MIM_106230,"ANIRIDIA, MICROCORNEA, AND SPONTANEOUSLY REABSORBED CATARACT","OMIM, phenotype",MIM_106230,http://purl.bioontology.org/ontology/OMIM/106230,0
MIM_106240,ANISOCORIA,"OMIM, phenotype",MIM_106240,http://purl.bioontology.org/ontology/OMIM/106240,0
MIM_106250,ANKYLOBLEPHARON FILIFORME ADNATUM AND CLEFT PALATE,"OMIM, phenotype",MIM_106250,http://purl.bioontology.org/ontology/OMIM/106250,0
MIM_106260,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE,"OMIM, phenotype",MIM_106260,http://purl.bioontology.org/ontology/OMIM/106260,0
MIM_106280,ANKYLOGLOSSIA WITH OR WITHOUT TOOTH ANOMALIES,"OMIM, phenotype",MIM_106280,http://purl.bioontology.org/ontology/OMIM/106280,0
MIM_106300,"SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1","OMIM, phenotype",MIM_106300,http://purl.bioontology.org/ontology/OMIM/106300,0
MIM_106400,ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS,"OMIM, phenotype",MIM_106400,http://purl.bioontology.org/ontology/OMIM/106400,0
MIM_106500,ANNULAR ERYTHEMA,"OMIM, phenotype",MIM_106500,http://purl.bioontology.org/ontology/OMIM/106500,0
MIM_106600,"TOOTH AGENESIS, SELECTIVE, 1","OMIM, phenotype",MIM_106600,http://purl.bioontology.org/ontology/OMIM/106600,0
MIM_106700,TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1,"OMIM, phenotype",MIM_106700,http://purl.bioontology.org/ontology/OMIM/106700,0
MIM_106750,ANONYCHIA WITH FLEXURAL PIGMENTATION,"OMIM, phenotype",MIM_106750,http://purl.bioontology.org/ontology/OMIM/106750,0
MIM_106900,ANONYCHIA-ECTRODACTYLY,"OMIM, phenotype",MIM_106900,http://purl.bioontology.org/ontology/OMIM/106900,0
MIM_106990,ANONYCHIA-ONYCHODYSTROPHY WITH BRACHYDACTYLY TYPE B AND ECTRODACTYLY,"OMIM, phenotype",MIM_106990,http://purl.bioontology.org/ontology/OMIM/106990,0
MIM_106995,ANONYCHIA-ONYCHODYSTROPHY WITH HYPOPLASIA OR ABSENCE OF DISTAL PHALANGES,"OMIM, phenotype",MIM_106995,http://purl.bioontology.org/ontology/OMIM/106995,0
MIM_107000,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 6","OMIM, phenotype",MIM_107000,http://purl.bioontology.org/ontology/OMIM/107000,0
MIM_107100,ANORECTAL ANOMALIES,"OMIM, phenotype",MIM_107100,http://purl.bioontology.org/ontology/OMIM/107100,0
MIM_107200,"ANOSMIA, ISOLATED CONGENITAL","OMIM, phenotype",MIM_107200,http://purl.bioontology.org/ontology/OMIM/107200,0
MIM_107250,ANTERIOR SEGMENT DYSGENESIS 1,"OMIM, phenotype",MIM_107250,http://purl.bioontology.org/ontology/OMIM/107250,0
MIM_107290,ANTIPYRINE METABOLISM,"OMIM, phenotype",MIM_107290,http://purl.bioontology.org/ontology/OMIM/107290,0
MIM_107320,"ANTIPHOSPHOLIPID SYNDROME, FAMILIAL","OMIM, phenotype",MIM_107320,http://purl.bioontology.org/ontology/OMIM/107320,0
MIM_107410,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 2, PSEUDOGENE","OMIM, phenotype",MIM_107410,http://purl.bioontology.org/ontology/OMIM/107410,0
MIM_107440,"ANTIVIRAL STATE REPRESSOR, REGULATOR OF","OMIM, phenotype",MIM_107440,http://purl.bioontology.org/ontology/OMIM/107440,0
MIM_107480,TOWNES-BROCKS SYNDROME 1,"OMIM, phenotype",MIM_107480,http://purl.bioontology.org/ontology/OMIM/107480,0
MIM_107500,AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND MENTAL RETARDATION,"OMIM, phenotype",MIM_107500,http://purl.bioontology.org/ontology/OMIM/107500,0
MIM_107550,"AORTIC ARCH INTERRUPTION, FACIAL PALSY, AND RETINAL COLOBOMA","OMIM, phenotype",MIM_107550,http://purl.bioontology.org/ontology/OMIM/107550,0
MIM_107600,"APLASIA CUTIS CONGENITA, NONSYNDROMIC","OMIM, phenotype",MIM_107600,http://purl.bioontology.org/ontology/OMIM/107600,0
MIM_107640,"APNEA, CENTRAL SLEEP","OMIM, phenotype",MIM_107640,http://purl.bioontology.org/ontology/OMIM/107640,0
MIM_107650,"APNEA, OBSTRUCTIVE SLEEP","OMIM, phenotype",MIM_107650,http://purl.bioontology.org/ontology/OMIM/107650,0
MIM_107700,"APPENDICITIS, PRONENESS TO","OMIM, phenotype",MIM_107700,http://purl.bioontology.org/ontology/OMIM/107700,0
MIM_107750,ARBITRARY RESTRICTION POLYMORPHISM 1,"OMIM, phenotype",MIM_107750,http://purl.bioontology.org/ontology/OMIM/107750,0
MIM_107800,ARCUS CORNEAE,"OMIM, phenotype",MIM_107800,http://purl.bioontology.org/ontology/OMIM/107800,0
MIM_107850,ARM FOLDING PREFERENCE,"OMIM, phenotype",MIM_107850,http://purl.bioontology.org/ontology/OMIM/107850,0
MIM_107900,"ARMS, MALFORMATION OF","OMIM, phenotype",MIM_107900,http://purl.bioontology.org/ontology/OMIM/107900,0
MIM_107920,AROMATIC ALPHA-KETO ACID REDUCTASE,"OMIM, phenotype",MIM_107920,http://purl.bioontology.org/ontology/OMIM/107920,0
MIM_107970,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1","OMIM, phenotype",MIM_107970,http://purl.bioontology.org/ontology/OMIM/107970,0
MIM_108000,"ARTERIES, ANOMALIES OF","OMIM, phenotype",MIM_108000,http://purl.bioontology.org/ontology/OMIM/108000,0
MIM_108010,ARTERIOVENOUS MALFORMATIONS OF THE BRAIN,"OMIM, phenotype",MIM_108010,http://purl.bioontology.org/ontology/OMIM/108010,0
MIM_108050,"ARTERITIS, FAMILIAL GRANULOMATOUS, WITH JUVENILE POLYARTHRITIS","OMIM, phenotype",MIM_108050,http://purl.bioontology.org/ontology/OMIM/108050,0
MIM_108100,"ARTHRITIS, SACROILIAC","OMIM, phenotype",MIM_108100,http://purl.bioontology.org/ontology/OMIM/108100,0
MIM_108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A","OMIM, phenotype",MIM_108120,http://purl.bioontology.org/ontology/OMIM/108120,0
MIM_108145,"ARTHROGRYPOSIS, DISTAL, TYPE 5","OMIM, phenotype",MIM_108145,http://purl.bioontology.org/ontology/OMIM/108145,0
MIM_108200,"ARTHROGRYPOSIS, DISTAL, TYPE 6","OMIM, phenotype",MIM_108200,http://purl.bioontology.org/ontology/OMIM/108200,0
MIM_108300,"STICKLER SYNDROME, TYPE I","OMIM, phenotype",MIM_108300,http://purl.bioontology.org/ontology/OMIM/108300,0
MIM_108320,"ARTICHOKE, MODIFICATION OF TASTE BY","OMIM, phenotype",MIM_108320,http://purl.bioontology.org/ontology/OMIM/108320,0
MIM_108340,ARYL HYDROCARBON HYDROXYLASE INDUCIBILITY,"OMIM, phenotype",MIM_108340,http://purl.bioontology.org/ontology/OMIM/108340,0
MIM_108390,"ASPARAGUS, SPECIFIC SMELL HYPERSENSITIVITY","OMIM, phenotype",MIM_108390,http://purl.bioontology.org/ontology/OMIM/108390,0
MIM_108420,SPERMATOGENIC FAILURE 2,"OMIM, phenotype",MIM_108420,http://purl.bioontology.org/ontology/OMIM/108420,0
MIM_108450,ASYMMETRIC SHORT STATURE SYNDROME,"OMIM, phenotype",MIM_108450,http://purl.bioontology.org/ontology/OMIM/108450,0
MIM_108500,"EPISODIC ATAXIA, TYPE 2","OMIM, phenotype",MIM_108500,http://purl.bioontology.org/ontology/OMIM/108500,0
MIM_108600,"SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_108600,http://purl.bioontology.org/ontology/OMIM/108600,0
MIM_108650,"SPASTIC ATAXIA 7, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_108650,http://purl.bioontology.org/ontology/OMIM/108650,0
MIM_108700,ATAXIA WITH FASCICULATIONS,"OMIM, phenotype",MIM_108700,http://purl.bioontology.org/ontology/OMIM/108700,0
MIM_108720,"ATELOSTEOGENESIS, TYPE I","OMIM, phenotype",MIM_108720,http://purl.bioontology.org/ontology/OMIM/108720,0
MIM_108721,"ATELOSTEOGENESIS, TYPE III","OMIM, phenotype",MIM_108721,http://purl.bioontology.org/ontology/OMIM/108721,0
MIM_108725,ATHEROSCLEROSIS SUSCEPTIBILITY,"OMIM, phenotype",MIM_108725,http://purl.bioontology.org/ontology/OMIM/108725,0
MIM_108760,ATRESIA OF EXTERNAL AUDITORY CANAL AND CONDUCTIVE DEAFNESS,"OMIM, phenotype",MIM_108760,http://purl.bioontology.org/ontology/OMIM/108760,0
MIM_108770,ATRIAL STANDSTILL 1,"OMIM, phenotype",MIM_108770,http://purl.bioontology.org/ontology/OMIM/108770,0
MIM_108800,ATRIAL SEPTAL DEFECT 1,"OMIM, phenotype",MIM_108800,http://purl.bioontology.org/ontology/OMIM/108800,0
MIM_108900,ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS,"OMIM, phenotype",MIM_108900,http://purl.bioontology.org/ontology/OMIM/108900,0
MIM_108950,ATRIAL TACHYARRHYTHMIA WITH SHORT PR INTERVAL,"OMIM, phenotype",MIM_108950,http://purl.bioontology.org/ontology/OMIM/108950,0
MIM_108980,"PR INTERVAL, VARIATION IN","OMIM, phenotype",MIM_108980,http://purl.bioontology.org/ontology/OMIM/108980,0
MIM_108985,SVEINSSON CHORIORETINAL ATROPHY,"OMIM, phenotype",MIM_108985,http://purl.bioontology.org/ontology/OMIM/108985,0
MIM_109000,AURICULOOSTEODYSPLASIA,"OMIM, phenotype",MIM_109000,http://purl.bioontology.org/ontology/OMIM/109000,0
MIM_109050,AUROCEPHALOSYNDACTYLY,"OMIM, phenotype",MIM_109050,http://purl.bioontology.org/ontology/OMIM/109050,0
MIM_109100,AUTOIMMUNE DISEASE,"OMIM, phenotype",MIM_109100,http://purl.bioontology.org/ontology/OMIM/109100,0
MIM_109120,"AXENFELD-RIEGER ANOMALY WITH PARTIALLY ABSENT EYE MUSCLES, DISTINCTIVE FACE, HYDROCEPHALY, AND SKELETAL ABNORMALITIES","OMIM, phenotype",MIM_109120,http://purl.bioontology.org/ontology/OMIM/109120,0
MIM_109130,AXIAL OSTEOMALACIA,"OMIM, phenotype",MIM_109130,http://purl.bioontology.org/ontology/OMIM/109130,0
MIM_109150,MACHADO-JOSEPH DISEASE,"OMIM, phenotype",MIM_109150,http://purl.bioontology.org/ontology/OMIM/109150,0
MIM_109160,"AZOTEMIA, FAMILIAL","OMIM, phenotype",MIM_109160,http://purl.bioontology.org/ontology/OMIM/109160,0
MIM_109180,BABOON M7 VIRUS INTEGRATION SITE,"OMIM, phenotype",MIM_109180,http://purl.bioontology.org/ontology/OMIM/109180,0
MIM_109200,"ALOPECIA, ANDROGENETIC, 1","OMIM, phenotype",MIM_109200,http://purl.bioontology.org/ontology/OMIM/109200,0
MIM_109300,BANKI SYNDROME,"OMIM, phenotype",MIM_109300,http://purl.bioontology.org/ontology/OMIM/109300,0
MIM_109350,GASTROESOPHAGEAL REFLUX,"OMIM, phenotype",MIM_109350,http://purl.bioontology.org/ontology/OMIM/109350,0
MIM_109400,BASAL CELL NEVUS SYNDROME,"OMIM, phenotype",MIM_109400,http://purl.bioontology.org/ontology/OMIM/109400,0
MIM_109500,"BASILAR IMPRESSION, PRIMARY","OMIM, phenotype",MIM_109500,http://purl.bioontology.org/ontology/OMIM/109500,0
MIM_109540,B-CELL GROWTH FACTOR,"OMIM, phenotype",MIM_109540,http://purl.bioontology.org/ontology/OMIM/109540,0
MIM_109543,"LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2","OMIM, phenotype",MIM_109543,http://purl.bioontology.org/ontology/OMIM/109543,0
MIM_109600,BEETURIA,"OMIM, phenotype",MIM_109600,http://purl.bioontology.org/ontology/OMIM/109600,0
MIM_109650,BEHCET SYNDROME,"OMIM, phenotype",MIM_109650,http://purl.bioontology.org/ontology/OMIM/109650,0
MIM_109660,"BETA-AMINO ACIDS, RENAL TRANSPORT OF","OMIM, phenotype",MIM_109660,http://purl.bioontology.org/ontology/OMIM/109660,0
MIM_109670,"BETA-ADRENERGIC STIMULATION, RESPONSE TO","OMIM, phenotype",MIM_109670,http://purl.bioontology.org/ontology/OMIM/109670,0
MIM_109720,"BILIARY CIRRHOSIS, PRIMARY, 1","OMIM, phenotype",MIM_109720,http://purl.bioontology.org/ontology/OMIM/109720,0
MIM_109730,AORTIC VALVE DISEASE 1,"OMIM, phenotype",MIM_109730,http://purl.bioontology.org/ontology/OMIM/109730,0
MIM_109740,"BIFID NOSE, AUTOSOMAL DOMINANT","OMIM, phenotype",MIM_109740,http://purl.bioontology.org/ontology/OMIM/109740,0
MIM_109800,BLADDER CANCER,"OMIM, phenotype",MIM_109800,http://purl.bioontology.org/ontology/OMIM/109800,0
MIM_109820,BLADDER DIVERTICULUM,"OMIM, phenotype",MIM_109820,http://purl.bioontology.org/ontology/OMIM/109820,0
